股票代碼,股票名稱,產業別,市場別
1101,台泥,水泥工業,上市
1102,亞泥,水泥工業,上市
1103,嘉泥,水泥工業,上市
1104,環泥,水泥工業,上市
1108,幸福,水泥工業,上市
1109,信大,水泥工業,上市
1110,東泥,水泥工業,上市
1201,味全,食品工業,上市
1203,味王,食品工業,上市
1210,大成,食品工業,上市
1213,大飲,食品工業,上市
1215,卜蜂,食品工業,上市
1216,統一,食品工業,上市
1217,愛之味,食品工業,上市
1218,泰山,食品工業,上市
1219,福壽,食品工業,上市
1220,台榮,食品工業,上市
1225,福懋油,食品工業,上市
1227,佳格,食品工業,上市
1229,聯華,食品工業,上市
1231,聯華食,食品工業,上市
1232,大統益,食品工業,上市
1233,天仁,食品工業,上市
1234,黑松,食品工業,上市
1235,興泰,食品工業,上市
1236,宏亞,食品工業,上市
1256,鮮活果汁-KY,食品工業,上市
1301,台塑,塑膠工業,上市
1303,南亞,塑膠工業,上市
1304,台聚,塑膠工業,上市
1305,華夏,塑膠工業,上市
1307,三芳,塑膠工業,上市
1308,亞聚,塑膠工業,上市
1309,台達化,塑膠工業,上市
1310,台苯,塑膠工業,上市
1312,國喬,塑膠工業,上市
1313,聯成,塑膠工業,上市
1314,中石化,塑膠工業,上市
1315,達新,塑膠工業,上市
1316,上曜,建材營造業,上市
1319,東陽,汽車工業,上市
1321,大洋,塑膠工業,上市
1323,永裕,塑膠工業,上市
1324,地球,塑膠工業,上市
1325,恆大,塑膠工業,上市
1326,台化,塑膠工業,上市
1337,再生-KY,塑膠工業,上市
1338,廣華-KY,汽車工業,上市
1339,昭輝,汽車工業,上市
1340,勝悅-KY,塑膠工業,上市
1341,富林-KY,塑膠工業,上市
1342,八貫,其他業,上市
1402,遠東新,紡織纖維,上市
1409,新纖,紡織纖維,上市
1410,南染,紡織纖維,上市
1413,宏洲,紡織纖維,上市
1414,東和,紡織纖維,上市
1416,廣豐,其他業,上市
1417,嘉裕,紡織纖維,上市
1418,東華,紡織纖維,上市
1419,新紡,紡織纖維,上市
1423,利華,紡織纖維,上市
1432,大魯閣,運動休閒,上市
1434,福懋,紡織纖維,上市
1435,中福,其他業,上市
1436,華友聯,建材營造業,上市
1437,勤益控,其他業,上市
1438,三地開發,建材營造業,上市
1439,雋揚,建材營造業,上市
1440,南紡,紡織纖維,上市
1441,大東,紡織纖維,上市
1442,名軒,建材營造業,上市
1443,立益物流,其他業,上市
1444,力麗,紡織纖維,上市
1445,大宇,紡織纖維,上市
1446,宏和,紡織纖維,上市
1447,力鵬,紡織纖維,上市
1449,佳和,紡織纖維,上市
1451,年興,紡織纖維,上市
1452,宏益,紡織纖維,上市
1453,大將,建材營造業,上市
1454,台富,紡織纖維,上市
1455,集盛,紡織纖維,上市
1456,怡華,建材營造業,上市
1457,宜進,紡織纖維,上市
1459,聯發,紡織纖維,上市
1460,宏遠,紡織纖維,上市
1463,強盛,紡織纖維,上市
1464,得力,紡織纖維,上市
1465,偉全,紡織纖維,上市
1466,聚隆,紡織纖維,上市
1467,南緯,紡織纖維,上市
1468,昶和,紡織纖維,上市
1470,大統新創,紡織纖維,上市
1471,首利,電子零組件業,上市
1472,三洋實業,建材營造業,上市
1473,台南,紡織纖維,上市
1474,弘裕,紡織纖維,上市
1475,業旺,紡織纖維,上市
1476,儒鴻,紡織纖維,上市
1477,聚陽,紡織纖維,上市
1503,士電,電機機械,上市
1504,東元,電機機械,上市
1506,正道,電機機械,上市
1512,瑞利,汽車工業,上市
1513,中興電,電機機械,上市
1514,亞力,電機機械,上市
1515,力山,電機機械,上市
1516,川飛,其他業,上市
1517,利奇,電機機械,上市
1519,華城,電機機械,上市
1521,大億,汽車工業,上市
1522,堤維西,汽車工業,上市
1524,耿鼎,汽車工業,上市
1525,江申,汽車工業,上市
1526,日馳,電機機械,上市
1527,鑽全,電機機械,上市
1528,恩德,電機機械,上市
1529,樂事綠能,電機機械,上市
1530,亞崴,電機機械,上市
1531,高林股,電機機械,上市
1532,勤美,電機機械,上市
1533,車王電,汽車工業,上市
1535,中宇,電機機械,上市
1536,和大,汽車工業,上市
1537,廣隆,電機機械,上市
1538,正峰,電機機械,上市
1539,巨庭,電機機械,上市
1540,喬福,電機機械,上市
1541,錩泰,電機機械,上市
1558,伸興,電機機械,上市
1560,中砂,電機機械,上市
1563,巧新,汽車工業,上市
1568,倉佑,汽車工業,上市
